group,variable,value
12-11,2003,76
12-12,2003,39
12-13,2003,91
12-14,2003,119
12-15,2003,84
12-16,2003,87
12-17,2003,67
12-18,2003,36
12-19,2003,61
12-20,2003,93
12-21,2003,60
12-22,2003,56
12-23,2003,69
12-24,2003,51
12-25,2003,34
12-26,2003,56
12-27,2003,104
12-28,2003,110
12-29,2003,93
12-30,2003,81
12-31,2003,39
01-01,2004,95
01-02,2004,88
01-03,2004,58
01-04,2004,71
01-05,2004,29
01-06,2004,38
01-07,2004,68
01-08,2004,77
01-09,2004,44
01-10,2004,82
01-11,2004,72
01-12,2004,89
01-13,2004,54
01-14,2004,89
01-15,2004,40
01-16,2004,119
01-17,2004,94
01-18,2004,77
01-19,2004,82
01-20,2004,64
01-21,2004,80
01-22,2004,53
01-23,2004,56
01-24,2004,59
01-25,2004,77
01-26,2004,103
01-27,2004,118
01-28,2004,64
01-29,2004,49
01-30,2004,38
01-31,2004,87
02-01,2004,84
02-02,2004,123
02-03,2004,80
02-04,2004,44
02-05,2004,97
02-06,2004,119
02-07,2004,25
02-08,2004,39
02-09,2004,81
02-10,2004,57
02-11,2004,67
02-12,2004,84
02-13,2004,64
02-14,2004,64
02-15,2004,67
02-16,2004,95
02-17,2004,82
02-18,2004,115
02-19,2004,136
02-20,2004,125
02-21,2004,48
02-22,2004,49
02-23,2004,62
02-24,2004,53
02-25,2004,65
02-26,2004,82
02-27,2004,69
02-28,2004,108
02-29,2004,88
03-01,2004,114
03-02,2004,56
03-03,2004,73
03-04,2004,109
03-05,2004,110
03-06,2004,26
03-07,2004,52
03-08,2004,27
03-09,2004,53
03-10,2004,116
03-11,2004,116
03-12,2004,25
03-13,2004,107
03-14,2004,102
03-15,2004,36
03-16,2004,50
03-17,2004,58
03-18,2004,81
03-19,2004,141
03-20,2004,103
03-21,2004,19
03-22,2004,54
03-23,2004,76
03-24,2004,84
03-25,2004,90
03-26,2004,97
03-27,2004,64
03-28,2004,58
03-29,2004,76
03-30,2004,42
03-31,2004,27
